"admin1Pcod";"admin1";"Fon";"Adja";"Yoruba";"Bariba";"Peul";"Ottamari";"Yoa";"Dendi";"Autres"
"BJ01";"Alibori";16;0;10;177;94;5;0;214;5
"BJ02";"Atacora";27;0;16;280;38;143;5;33;5
"BJ03";"Atlantique";489;56;80;40;32;24;16;32;32
"BJ04";"Borgou";51;7;58;275;210;29;14;65;14
"BJ05";"Collines";150;11;273;0;32;27;27;0;16
"BJ06";"Couffo";52;441;26;0;5;0;0;0;0
"BJ07";"Donga";18;0;11;21;35;0;112;151;4
"BJ08";"Littoral";319;40;120;53;20;27;7;33;47
"BJ09";"Mono";76;227;22;4;18;4;0;4;7
"BJ10";"Oueme";519;22;110;0;29;22;0;7;22
"BJ11";"Plateau";85;28;273;0;12;8;0;0;0
"BJ12";"Zou";546;24;18;0;6;0;0;0;6
