"ADM2_CODE";"ADM2_NAME";"ADM1_CODE";"ADM1_NAME";"pop_total";"Aguna";"Aja";"Akan";"Anii";"Arabic";"Ayizo_Gbe";"Baatonum";"Bambara";"Biali";"Boko";"Boo";"Borgu_Fulfulde";"Bozo";"Contimba";"Defi_Gbe";"Dendi";"Ditammari";"Dyula";"Ede_Cabe";"Ede_Idaca";"Ede_Ije";"English";"Ewe";"Fon";"French";"Gagamba";"Gando";"Gen";"Gorgal_Fulfulde";"Gourmanchéma";"Gun";"Hausa";"Ifè";"Igbo";"Kabiye";"Kotafon_Gbe";"Kotokoli";"Lekpa";"Lingala";"Maxi_Gbe";"Mbelime";"Mioybe";"Mobaa";"Mokole";"Mossi";"Nateni";"Northern_Nago";"Partago";"Saxwe_Gbe";"Senufo";"Seto_Gbe";"Songhay";"Soninke";"Southern_Nago";"Taneka";"Tem";"Tofin_Gbe";"Toli_Gbe";"Waama";"Waci_Gbe";"Weme_Gbe";"Western_Xwla_Gbe";"Wolof";"Xwela_Gbe";"Yoabu";"Yom";"Yoruba";"Zarma";"Other"
"BJ0101";"Banikorara";"BJ01";"Alibori";249960;0;190;0;0;0;0;173788;0;213;0;0;57859;0;0;134;3311;0;0;0;324;0;0;1163;1723;0;0;582;0;0;2215;0;593;0;0;1231;0;157;0;0;0;0;0;0;0;0;0;0;0;0;134;0;0;0;537;0;0;0;0;0;0;0;0;0;0;0;0;906;3904;996
"BJ0102";"Gogounou";"BJ01";"Alibori";119010;0;123;0;0;0;0;59533;0;0;796;269;50373;0;0;0;729;0;0;0;135;0;0;0;471;67;0;516;78;0;325;0;482;0;90;135;0;157;0;0;146;0;0;0;0;0;0;0;0;0;0;0;0;0;863;0;0;0;0;661;0;0;0;0;0;0;0;101;2590;370
"BJ0103";"Kandi";"BJ01";"Alibori";178030;0;112;0;0;0;0;45368;0;134;156;2336;60469;0;0;0;25696;0;0;89;235;0;0;0;1990;883;0;1218;112;0;335;414;2258;0;0;704;0;0;0;0;89;0;0;0;29620;0;0;0;0;0;0;0;0;0;648;0;0;0;0;279;0;0;0;0;0;0;0;816;3364;704
"BJ0104";"Karimama";"BJ01";"Alibori";65150;0;0;0;0;0;0;56;0;56;0;0;11398;0;0;0;40215;0;0;0;34;0;0;0;191;0;0;90;0;0;5131;0;3724;0;45;158;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;79;0;0;0;0;0;0;0;0;0;0;0;0;79;3758;135
"BJ0105";"Malanville";"BJ01";"Alibori";169750;0;125;0;193;0;0;1121;102;0;0;0;20648;0;0;0;97283;0;0;125;238;0;0;0;2345;340;0;0;113;125;0;147;14283;0;0;1144;0;113;136;0;136;0;385;0;3387;0;0;0;0;113;249;0;238;0;612;0;736;0;0;0;0;0;0;0;261;0;328;2469;21883;374
"BJ0106";"Segbana";"BJ01";"Alibori";90600;0;127;0;0;0;0;243;0;0;0;50309;25189;0;0;0;371;58;0;46;255;0;0;0;394;174;1135;127;0;0;0;0;5976;0;0;1123;0;1262;58;0;93;0;0;0;0;0;0;0;0;0;0;0;0;0;208;0;0;0;0;0;46;0;0;0;0;0;0;232;2988;185
"BJ0201";"Boukoumbe";"BJ02";"Atacora";84140;0;0;0;0;0;0;0;0;6599;0;0;489;0;0;0;311;71398;0;0;0;0;0;0;267;122;811;0;0;122;0;0;0;0;0;3433;0;0;0;0;0;44;0;0;0;0;67;0;0;0;0;0;0;0;78;0;78;0;0;0;0;0;0;0;0;0;0;44;44;233
"BJ0202";"Kerou";"BJ02";"Atacora";101510;0;68;0;0;0;0;50151;0;0;0;0;24839;0;0;90;779;203;0;0;0;0;0;158;248;0;0;305;0;0;19625;0;158;0;90;181;0;0;0;0;68;0;0;0;0;0;158;0;0;0;0;0;0;0;135;0;79;0;0;0;0;0;0;0;0;0;192;361;3374;248
"BJ0203";"Cobly";"BJ02";"Atacora";72380;0;0;0;0;0;0;68;0;38198;0;0;4095;0;113;0;236;10137;0;0;0;0;0;45;225;68;11083;0;0;0;5648;0;68;0;0;0;0;0;0;0;0;0;0;0;0;0;2093;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;45;214
"BJ0204";"Kouande";"BJ02";"Atacora";110540;0;0;0;0;0;0;47940;0;56;0;0;26528;0;0;0;1346;7319;0;0;289;0;0;0;211;267;0;56;0;0;367;133;67;0;0;3048;0;0;567;0;67;0;957;0;0;0;7997;0;0;0;0;0;0;0;67;0;0;0;0;8465;0;0;0;0;0;0;4049;156;356;234
