Code;Pays;SUP;POP;IDH;ALP
BEN;Bénin;113000;11,8;0,52;32,9
BFA;Burkina Faso;274000;20,3;0,434;34,6
CPV;Cap-Vert;4000;0,5;0,661;86,8
CIV;Côte d'Ivoire;322000;25,7;0,5163;43,9
GMB;Gambie;11000;2,3;0,466;42
GHA;Ghana;239000;30,4;0,596;71,5
GIN;Guinée;246000;12,84;0,4663;32
GNB;Guinée-Bissau;36000;1,9;0,461;45,6
LBR;Libéria;111000;4,9;0,465;NA
MLI;Mali;1240000;19,7;0,427;33,1
NER;Niger;1267000;23,3;0,377;30,6
NGA;Nigeria;924000;201;0,534;51,1
SEN;Sénégal;197000;16,3;0,505;51,9
SLE;Sierra Leone;72000;7,8;0,438;32,4
TGO;Togo;57000;3,1;0,513;63,7
