Code;Nom;V00;V01;V02;V03;V04;V05;V06;V07;V08;V09;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19
BEN;Bénin;5,8;5,3;4,6;3,4;4,4;1,7;3,9;5,9;4,8;2,3;2,1;2,9;4,8;7,1;6,5;1,7;3,3;5,8;6,7;6,8
BFA;Burkina Faso;1,8;6,6;4,3;7,8;4,4;8,6;6,2;4,1;5,8;2,9;8,4;6,6;6,4;5,7;4,3;3,9;5,9;6,2;6,7;5,6
CPV;Cap-Vert;14,2;2,2;5,2;4,1;10,1;6,9;7,9;15,1;6,6;-1,2;1,4;3,9;1;0,8;0,6;1;4,7;3,7;4,5;5,6
CIV;Côte d'Ivoire;-2;0,1;-1,6;-1,3;1,2;1,7;1,5;1,7;2,5;3,2;2;-4,3;10,7;8,8;8,7;8,8;7,1;7,3;6,8;6,2
GMB;Gambie;5,5;5,8;-3,2;6,8;7;-2,3;-0,5;3;6,2;6,6;5,9;-8,3;5,2;2,8;-1,4;4;1,9;4,8;7,2;6
GHA;Ghana;3,7;4;4,5;5,2;5,6;5,9;6,4;4,3;9,1;4,8;7,9;14,1;9,2;7,3;2,8;2,1;3,4;8,1;6,2;6,4
GIN;Guinée;2,5;3;5,1;1,2;2,3;2,9;0,1;6,8;4,1;1,1;4,8;5,6;5,9;3,9;3,7;3,8;10,8;10,3;6,2;5,6
GNB;Guinée-Bissau;5,4;2,1;-0,9;0,5;2,7;4,2;2,3;3,2;3,2;3,3;4,8;8;-1,7;3,2;0,9;6,1;6,2;5,9;3,8;4,6
LBR;Libéria;NA;2,9;3,7;3;2,6;5,2;8;9,5;7,1;5,3;6,1;8,2;7,9;8,7;0,7;0,8;-1,6;2,4;1,2;2,2
MLI;Mali;0;15,3;3,1;9,1;1,5;6,5;4,6;3,4;4,7;4,8;5,3;3,2;-0,8;2,2;7;6,1;5,8;5,3;4,7;4,7
NER;Niger;-1,2;7,2;49;2,1;0,3;7,3;5,9;3,1;7,7;1,9;8,5;2,5;10,5;5,3;6,6;4,3;5,7;4,9;7,2;5,9
NGA;Nigeria;5;5,9;15,2;7,3;9,2;6,4;6;6,5;6,7;8;8;5,3;4,2;6,6;6,3;2,6;-1,6;0,8;1,9;2,2
SEN;Sénégal;3,1;4,5;0,6;6,6;5,8;5,6;2,4;4,9;4;2;3,5;1,4;5,1;2,8;6,6;6,3;6,3;7,4;6,3;5,2
SLE;Sierra Leone;6,6;6,3;26,4;9,3;6,5;4,5;4,2;8;5,3;3,1;5,3;6,3;15,1;20,7;4,5;-20,9;6;4,2;-3,4;5,8
TGO;Togo;-0,7;0,8;3,8;6,7;-0,9;4,6;2,6;-1,1;4;5,5;6;6,3;6,5;6,1;5,9;5,7;5,5;4,3;4,9;5,3
